time,massFlow,signal,unit,anomaly
11220.01443795,0.261122223850984,2019_07_01,A1,1
11280.01420795,0.261525385903462,2019_07_01,A1,1
11340.01425795,0.257016395162671,2019_07_01,A1,1
11400.01436795,0.263705923442358,2019_07_01,A1,1
11460.01544795,0.264041588526694,2019_07_01,A1,1
11520.01550795,0.258190972527776,2019_07_01,A1,1
11580.01555795,0.256501995859464,2019_07_01,A1,1
11640.01655795,0.258280807096408,2019_07_01,A1,1
11700.01656795,0.256891201078001,2019_07_01,A1,1
11760.01668795,0.258323378752013,2019_07_01,A1,1
11820.01686795,0.264557306698121,2019_07_01,A1,1
11880.01704795,0.260958364662966,2019_07_01,A1,1
11940.01678795,0.25997841496134,2019_07_01,A1,1
12000.01680795,0.255634034670772,2019_07_01,A1,1
12060.01684795,0.25791834691877,2019_07_01,A1,1
12120.01698795,0.260165930646078,2019_07_01,A1,1
12180.01621795,0.263838129316936,2019_07_01,A1,1
12240.01626795,0.25600225457199,2019_07_01,A1,1
12300.01637795,0.256806157899606,2019_07_01,A1,1
12360.01639795,0.258163342676907,2019_07_01,A1,1
12420.01656795,0.254892018856964,2019_07_01,A1,1
12480.01657795,0.251807526205428,2019_07_01,A1,1
12540.01673795,0.255169001797957,2019_07_01,A1,1
12600.01678795,0.249024875033539,2019_07_01,A1,1
12660.01689795,0.250869797568512,2019_07_01,A1,1
12720.01661795,0.253175746235208,2019_07_01,A1,1
12780.01668795,0.251704903457848,2019_07_01,A1,1
12840.01669795,0.255754353897852,2019_07_01,A1,1
12900.01676795,0.255363646154907,2019_07_01,A1,1
12960.01692795,0.25569503737461,2019_07_01,A1,1
13020.01667795,0.255371342433135,2019_07_01,A1,1
13080.01655795,0.256678793495677,2019_07_01,A1,1
13140.01661795,0.252131304614257,2019_07_01,A1,1
13200.01669795,0.246500391832592,2019_07_01,A1,1
13260.01625795,0.250116395911329,2019_07_01,A1,1
13320.01640795,0.251842050991909,2019_07_01,A1,1
13380.01642795,0.253752483803944,2019_07_01,A1,1
13440.01654795,0.250349805532451,2019_07_01,A1,1
13500.01641795,0.252272659239068,2019_07_01,A1,1
13560.01665795,0.247036460941439,2019_07_01,A1,1
13620.01683795,0.252468555690355,2019_07_01,A1,1
13680.01771795,0.248313477425945,2019_07_01,A1,1
13740.01919795,0.256283912048924,2019_07_01,A1,1
13800.01885795,0.257477872046115,2019_07_01,A1,1
13860.01854795,0.258299538627115,2019_07_01,A1,1
13920.01891795,0.248611946572409,2019_07_01,A1,1
13980.01853795,0.248775622104239,2019_07_01,A1,1
14040.01866795,0.249066528492232,2019_07_01,A1,1
14100.01871795,0.246409188287318,2019_07_01,A1,1
14160.01876795,0.252389572746023,2019_07_01,A1,1
14220.01879795,0.25247863933097,2019_07_01,A1,1
14280.01941795,0.249681079741287,2019_07_01,A1,1
14340.01855795,0.248911934908743,2019_07_01,A1,1
14400.01870795,0.258029133417779,2019_07_01,A1,1
14460.01840795,0.249430741652358,2019_07_01,A1,1
14520.01855795,0.246023021532549,2019_07_01,A1,1
14580.01864795,0.248984073025884,2019_07_01,A1,1
14640.01880795,0.251209903480198,2019_07_01,A1,1
14700.01887795,0.246466685082198,2019_07_01,A1,1
14760.01896795,0.242903419767036,2019_07_01,A1,1
14820.01912795,0.247801281828938,2019_07_01,A1,1
14880.01910795,0.24297143428879,2019_07_01,A1,1
14940.01818795,0.24944247805862,2019_07_01,A1,1
15000.01922795,0.249467603692805,2019_07_01,A1,1
15060.01933795,0.253366867989728,2019_07_01,A1,1
15120.01943795,0.252443730566652,2019_07_01,A1,1
15180.01946795,0.255782501274325,2019_07_01,A1,1
15240.01959795,0.252298168851091,2019_07_01,A1,1
15300.01965795,0.252156480328855,2019_07_01,A1,1
15360.01974795,0.250850715446909,2019_07_01,A1,1
15420.01971795,0.253141889243577,2019_07_01,A1,1
15480.01964795,0.252200504456465,2019_07_01,A1,1
15540.01980795,0.248291440335938,2019_07_01,A1,1
15600.01967795,0.255635520501709,2019_07_01,A1,1
15660.01929795,0.243646120097174,2019_07_01,A1,1
15720.02029795,0.248234310825426,2019_07_01,A1,1
15780.02047795,0.252889631237452,2019_07_01,A1,1
15840.02154795,0.252293894986458,2019_07_01,A1,1
15900.02174795,0.25350381520214,2019_07_01,A1,1
15960.02169795,0.260165563361711,2019_07_01,A1,1
16020.02178795,0.255629877688444,2019_07_01,A1,1
16080.02184795,0.25301941639071,2019_07_01,A1,1
16140.02255795,0.255876609707589,2019_07_01,A1,1
16200.02255795,0.253957345349276,2019_07_01,A1,1
16260.02251795,0.252196898386682,2019_07_01,A1,1
16320.02303795,0.255892920516976,2019_07_01,A1,1
16380.02215795,0.255180604684461,2019_07_01,A1,1
16440.02220795,0.255622882563998,2019_07_01,A1,1
16500.02299795,0.259032472492582,2019_07_01,A1,1
16560.02310795,0.252381709505078,2019_07_01,A1,1
16620.02211795,0.25758413427843,2019_07_01,A1,1
16680.02229795,0.256181673279182,2019_07_01,A1,1
16740.02297795,0.260643467880829,2019_07_01,A1,1
16800.02304795,0.254322259691194,2019_07_01,A1,1
16860.02318795,0.258963723430104,2019_07_01,A1,1
16920.02408795,0.253765706069151,2019_07_01,A1,1
16980.02323795,0.254493781770499,2019_07_01,A1,1
17040.02315795,0.252283126857521,2019_07_01,A1,1
17100.02361795,0.254897060677272,2019_07_01,A1,1
17160.02369795,0.259973373141032,2019_07_01,A1,1
17220.02374795,0.255764955092081,2019_07_01,A1,1
17280.02386795,0.256652716249629,2019_07_01,A1,1
17340.02396795,0.262629310982362,2019_07_01,A1,1
17400.02506795,0.259152825106603,2019_07_01,A1,1
17460.02418795,0.255285798422608,2019_07_01,A1,1
17520.02429795,0.253844839282729,2019_07_01,A1,1
17580.02446795,0.25444426507086,2019_07_01,A1,1
17640.02506795,0.256763786565651,2019_07_01,A1,1
17700.02418795,0.252434047597344,2019_07_01,A1,1
17760.02425795,0.255747291999523,2019_07_01,A1,1
17820.02492795,0.254034458512842,2019_07_01,A1,1
17880.02501795,0.254117481613215,2019_07_01,A1,1
17940.02415795,0.256972554691249,2019_07_01,A1,1
18000.02478795,0.259161756813707,2019_07_01,A1,0
18060.02476795,0.258292510143736,2019_07_01,A1,0
18120.02443795,0.260531729797966,2019_07_01,A1,0
18180.02455795,0.259998832672643,2019_07_01,A1,0
18240.02421795,0.255771048657067,2019_07_01,A1,0
18300.02420795,0.264719162529598,2019_07_01,A1,0
18360.02440795,0.262026145576682,2019_07_01,A1,0
18420.02706795,0.261543115741893,2019_07_01,A1,0
18480.02645795,0.261024960127666,2019_07_01,A1,0
18540.02645795,0.262407070189494,2019_07_01,A1,0
18600.02686795,0.260479091167206,2019_07_01,A1,0
18660.02709795,0.259203009601092,2019_07_01,A1,0
18720.02702795,0.260933138867955,2019_07_01,A1,0
18780.02677795,0.255492145826886,2019_07_01,A1,0
18840.02653795,0.252060335152107,2019_07_01,A1,0
18900.02637795,0.256110687095553,2019_07_01,A1,0
18960.02729795,0.259629811428809,2019_07_01,A1,0
19020.02735795,0.260279154587887,2019_07_01,A1,0
19080.02722795,0.252075610854269,2019_07_01,A1,0
19140.02836795,0.25943055933781,2019_07_01,A1,0
19200.02845795,0.254816925771419,2019_07_01,A1,0
19260.02856795,0.25630084054474,2019_07_01,A1,0
19320.02826795,0.261004141745055,2019_07_01,A1,0
19380.02898795,0.248874471847329,2019_07_01,A1,0
19440.02902795,0.255339872803892,2019_07_01,A1,0
19500.02810795,0.249141304373823,2019_07_01,A1,0
19560.02821795,0.251171605661217,2019_07_01,A1,0
19620.02828795,0.249200370495003,2019_07_01,A1,0
19680.02811795,0.249348536588072,2019_07_01,A1,0
19740.02814795,0.251311007009899,2019_07_01,A1,0
19800.02829795,0.250206647844739,2019_07_01,A1,0
19860.02837795,0.255301675173745,2019_07_01,A1,0
19920.02956795,0.250716856778676,2019_07_01,A1,0
19980.03061795,0.246585451704457,2019_07_01,A1,0
20040.03037795,0.247774436655223,2019_07_01,A1,0
20100.03105795,0.253497704915674,2019_07_01,A1,0
20160.03113795,0.256372544603631,2019_07_01,A1,0
20220.03015795,0.24983752644008,2019_07_01,A1,0
20280.03013795,0.250962203127709,2019_07_01,A1,0
20340.03079795,0.242489422839748,2019_07_01,A1,0
20400.03081795,0.244096545034669,2019_07_01,A1,0
20460.03094795,0.250573064711065,2019_07_01,A1,0
20520.03073795,0.247645836822419,2019_07_01,A1,0
20580.03196795,0.24808866564251,2019_07_01,A1,0
20640.03204795,0.248096011329843,2019_07_01,A1,0
20700.03112795,0.246900415260477,2019_07_01,A1,0
20760.03191795,0.240065575695301,2019_07_01,A1,0
20820.03156795,0.250198567588673,2019_07_01,A1,0
20880.03160795,0.243510007614321,2019_07_01,A1,0
20940.03175795,0.251627372929503,2019_07_01,A1,0
21000.03197795,0.242266898229867,2019_07_01,A1,0
21060.03182795,0.24611639539708,2019_07_01,A1,0
21120.03177795,0.249978079722275,2019_07_01,A1,0
21180.03191795,0.246522211907478,2019_07_01,A1,0
21240.03200795,0.247045392648542,2019_07_01,A1,0
21300.03183795,0.243373861744525,2019_07_01,A1,0
21360.03181795,0.24717850008258,2019_07_01,A1,0
21420.03196795,0.249529691556272,2019_07_01,A1,0
